trap_year,Z1,Z2,Z3
D_D1-1-10_2012,-0.06556131417170254,0.16429535507321397,0.048242083769683336
D_D1-1-11_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-1-12_2012,0.0346137000738061,-0.4208016891415874,-0.32989415572295855
D_D1-1-13_2012,0.05060758945525833,0.07654026916307338,0.047178800635106447
D_D1-1-14_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-1-15_2012,0.03358881193369076,-0.6144273232193345,0.08293358273416537
D_D1-1-16_2012,0.4951809911700848,-0.45306252329733926,0.6922912632214894
D_D1-1-17_2012,0.13123488782573622,-0.20707395928363626,0.318807305621291
D_D1-1-18_2012,-0.034005079580100295,-0.522712567502061,-0.6336030272525621
D_D1-1-19_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-1_2012,0.16233637737802575,-0.06423447390674766,0.2983072489658834
D_D1-1-20_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-21_2012,0.16233637737802575,-0.06423447390674766,0.2983072489658834
D_D1-1-22_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-23_2012,0.25696245528019523,-0.472755776478102,-0.24864839722062418
D_D1-1-24_2012,0.06402980840823456,-0.6378684526329557,-0.42349294474100607
D_D1-1-25_2012,-0.06354352271137703,-0.1345217113397389,-0.5146482557003593
D_D1-1-26_2012,-0.12450502156310483,0.10511009794100473,0.6082115338404477
D_D1-1-27_2012,-0.07116744962615026,-0.5155162030478266,-1.333216858430793
D_D1-1-28_2012,-0.037770337412450214,0.23667550501451856,-0.001343246515297991
D_D1-1-29_2012,0.059394638820190415,0.17783863769767688,-0.033009113240309446
D_D1-1-2_2012,0.5929646223231099,-1.7230739898445657,-0.8481876062032093
D_D1-1-30_2012,-0.07840456334485843,0.056572938083921664,-0.01108241640895407
D_D1-1-31_2012,0.24304173403476453,-0.3701667878042078,-0.34018864359372736
D_D1-1-32_2012,0.16233637737802575,-0.06423447390674766,0.2983072489658834
D_D1-1-33_2012,-0.05607844054519539,0.02294989039655579,0.07890963896417603
D_D1-1-34_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-35_2012,-0.06494724861984505,-0.41439312861635413,-0.18162516890745228
D_D1-1-36_2012,0.1629804459741533,-0.5681428641849285,0.3705449332166692
D_D1-1-37_2012,0.3295396305546673,-0.2209210620821379,-0.04234977379162921
D_D1-1-38_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-39_2012,-0.03730676357433392,-0.12601683543613001,0.05065043978785879
D_D1-1-3_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-1-40_2012,-0.01866035460645705,-0.534779438563209,0.19991949958183752
D_D1-1-41_2012,0.006985351654710089,-0.7655189513905483,-0.7158171691917655
D_D1-1-42_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-43_2012,-0.05676107833663601,0.2534692643373776,-0.03914976123077776
D_D1-1-44_2012,-0.023326194211552194,-0.305052673515366,-0.18120918656924062
D_D1-1-45_2012,-0.037770337412450214,0.23667550501451856,-0.001343246515297991
D_D1-1-46_2012,0.059394638820190415,0.17783863769767688,-0.033009113240309446
D_D1-1-47_2012,0.19746137277191017,-0.18597718810661384,0.13740106061626528
D_D1-1-48_2012,1.0282086807557602,-0.9624185426944555,0.9392907413034096
D_D1-1-4_2012,-0.03656581310785193,-0.10459073924180488,0.07063886881028185
D_D1-1-5_2012,-0.06556131417170254,0.16429535507321397,0.048242083769683336
D_D1-1-6_2012,-0.037770337412450214,0.23667550501451856,-0.001343246515297991
D_D1-1-7_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-8_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-1-9_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-10_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-2-11_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-12_2012,0.05240089386916712,-0.05109468057504357,0.07029734662836404
D_D1-2-13_2012,0.06155806136709455,-0.35363233810765204,0.061935608325476316
