,census,plot,min,max,mid,difference,diff_yrs,step
,c1,D,2012-01-12,2013-12-03,2012-12-22,,,
,c1,E,2012-01-11,2013-10-04,2012-11-22,,,
E_c1-c2,c2,E,2014-01-06,2014-12-04,2014-06-21,576.0,1.5780821917808219,c1-c2
,c1,OG2,2012-05-11,2013-12-01,2013-02-19,,,
OG3_c1-c1,c1,OG3,2013-01-04,2013-09-01,2013-05-04,74.0,0.20273972602739726,c1-c1
,c1,OP1,2012-11-19,2013-02-25,2013-01-07,,,
,c1,OP2,2012-06-12,2013-06-04,2012-12-07,,,
OP3_c1-c1,c1,OP3,2012-11-22,2013-02-26,2013-01-09,33.0,0.09041095890410959,c1-c1
VJR_c1-c2,c2,VJR,2014-01-07,2014-08-05,2014-04-22,468.0,1.2821917808219179,c1-c2
