plt_sub_cen,Z1,Z2,Z3
BNorth_sp01_c1,-0.7886759264158787,-2.4575504120315923,-2.6372093102041103
BNorth_sp01_c2,-0.7886759264158787,-2.4575504120315923,-2.6372093102041103
BNorth_sp01_c3,-0.8669924245848575,-2.4731118740415723,-2.5937407996070334
BNorth_sp01_c4,-0.7759370958847792,-2.3836641270981724,-2.498375639997738
BNorth_sp02_c1,0.7548103733940728,-1.2478337269416648,0.3200911220987147
BNorth_sp02_c2,0.994131039535805,-1.5195854622085163,0.49368839148083754
BNorth_sp02_c3,0.6926362773652716,-1.854120401010168,0.6227641232348811
BNorth_sp02_c4,0.33418239910917713,-1.5464160743375899,0.47098802854752564
BNorth_sp03_c1,0.23687303453176223,-0.16606983621973298,0.281749389781752
BNorth_sp03_c2,0.3377673921826161,-0.29242015996563453,0.3012273344872812
BNorth_sp03_c3,0.34791643222807567,-0.36083033783680907,0.37212520621117096
BNorth_sp03_c4,0.33555130752607376,-0.3222634055597569,0.34729629217339353
BNorth_sp04_c1,0.5165220113096177,-1.6451257068156375,0.6305668629994792
BNorth_sp04_c2,0.7585561553702898,-1.810216359735447,0.6303910509758509
BNorth_sp04_c3,0.1770845237277418,-1.740994649154577,0.5156260513756015
BNorth_sp04_c4,0.15115880497469564,-1.688678878419838,0.4808561783298668
BNorth_sp05_c2,0.0780584192201586,0.21882148885511438,0.07988906222475228
BNorth_sp05_c3,0.012539723212985854,0.10838002839156191,0.20611382766666986
BNorth_sp05_c4,0.012539723212985854,0.10838002839156191,0.20611382766666986
BNorth_sp06_c2,0.26748930738684906,-0.08820660089316591,0.180705946458673
BNorth_sp06_c3,0.30625397189766695,-0.18382503239608744,0.36528801181306664
BNorth_sp06_c4,0.19538403109078212,-0.05010393215381477,0.33850332884144174
BNorth_sp07_c1,0.858583989274249,-1.1329148685761719,-0.29773294020920266
BNorth_sp07_c2,0.7795075226516239,-1.5990278094939645,-0.18453701397216396
BNorth_sp07_c3,0.6521115367187638,-1.4897340838656457,-0.19538668897205655
