plot,agb
A,2.4598026841599996
B,4.268803343359999
C,2.97664926528
D,2.12316653504
E,0.92722632448
F,6.543926819839999
LF1,5.8566472826090505
LF2,9.59306311569519
LF3,9.24872525654716
LFE,6.5981433824
OG1,27.31841407104
OG2,23.456774568320004
OG3,22.3334035872
OP1,0.2578614
OP2,0.3214468
OP3,0.46746620000000005
VJR,6.21669764224
