,date,location,disturbance,census,An_ait,An_bar,An_van,An_sp,An_bal,An_koc,An_lat,An_maca,An_macu,An_tes,An_wat,Arm_ju,Arm_fl,Coq_cr,Cx_Cul1,Cx_pap,Cx_sca,Cx_gel,Cx_mim,Cx_qui,Cx_sit,Cx_vis,Cx_Lop,Cx_bit,Do_gan,He_sci,Ma_ann,Or_sp,Pr_ost,Stg_al,Ae_orb,Arm_co,Arm_sp,Col_pse,Ph_pro,Stg_sp,Ve_sp,plot,second_order,agb,forestquality,plt_sub_cen
18,2012-11-28,E_655,Twice,c1,0,0,0.0,1,36,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
19,2012-11-29,D_643,Twice,c1,0,0,0.0,1,58,0.0,0,4,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
20,2012-01-12,D_643,Twice,c1,0,1,0.0,0,61,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
21,2012-02-12,D_643,Twice,c1,1,0,2.0,0,42,1.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
22,2012-06-12,OP2_748,Oil Palm,c1,0,0,0.0,0,2,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
23,2012-07-12,OP2_748,Oil Palm,c1,0,0,0.0,0,2,0.0,0,0,3,0.0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
24,2012-08-12,OP2_748,Oil Palm,c1,0,0,0.0,5,7,0.0,0,0,9,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
25,2012-10-12,E_647,Twice,c1,0,0,0.0,0,48,0.0,0,4,0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
26,2012-11-12,E_647,Twice,c1,0,0,0.0,1,42,0.0,0,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
27,2012-12-12,E_647,Twice,c1,0,0,0.0,0,30,0.0,0,3,0,0.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
